Designator,Mid X,Mid Y,Rotation,Layer
BT1,56.255,146.600122,0.0,top
BZ1,69.2,131.2,270.0,top
C1,129.05,145.27,0.0,top
C18,46.97,158.735,0.0,top
C19,47.615,163.565,270.0,top
C2,78.0,134.05,270.0,top
C20,58.415,158.955,0.0,top
C21,58.965,163.855,270.0,top
C22,69.4,159.2,0.0,top
C23,70.05,164.1,270.0,top
C24,91.59,158.95,0.0,top
C25,80.45,159.0,0.0,top
C26,92.24,163.75,270.0,top
C27,81.15,163.8,270.0,top
C28,131.875,151.56,270.0,top
C29,134.075,151.56,270.0,top
C3,84.4,134.0,90.0,top
C30,121.275,173.37,0.0,top
C31,121.275,171.26,0.0,top
C32,121.275,169.16,0.0,top
C33,12.7,150.2,90.0,top
C34,17.3,153.7,180.0,top
C35,13.4,153.7,180.0,top
C36,25.4,149.7,180.0,top
C37,38.05,163.6,0.0,top
C4,87.58,107.1325,180.0,top
C41,42.4,166.65,90.0,top
C42,41.7,169.6,0.0,top
C43,40.2,166.65,270.0,top
C44,41.65,163.6,0.0,top
C45,29.45,163.7,0.0,top
C46,29.5,170.6,180.0,top
C5,87.58,109.28,180.0,top
C6,87.58,111.38,180.0,top
C7,87.58,113.48,180.0,top
C8,87.37,133.2375,0.0,top
D1,80.5,112.2125,90.0,top
D10,148.2875,132.96,180.0,top
D12,148.3625,115.76,180.0,top
D13,151.675,95.06,270.0,top
D14,147.675,97.56,180.0,top
D19,-10.97,147.5,0.0,top
D2,80.5,115.7,270.0,top
D21,120.175,151.8475,90.0,top
D22,123.375,151.86,90.0,top
D23,-11.105,139.0,0.0,top
D24,17.1,146.9,0.0,top
D25,25.66,169.17,270.0,top
D26,9.8,158.8,90.0,top
D27,-11.23,130.4,0.0,top
D28,-11.37,120.6,0.0,top
D3,152.175,130.46,270.0,top
D5,152.575,166.16,270.0,top
D6,148.7625,168.76,180.0,top
D7,151.675,148.06,270.0,top
D8,147.8625,150.66,180.0,top
D9,152.175,113.16,270.0,top
F1,5.2,95.3,0.0,top
J1,110.03,170.685,180.0,top
J10,132.72,63.2,0.0,top
J11,148.92,63.2,0.0,top
J12,165.32,63.2,0.0,top
